,Question,Answer
0,"1.	Which of the following is a transaction isolation level as specified by SQL standard?
a)	Serializable
b)	Repeatable read
c)	Read committed
d)	All of the mentioned
View Answer","Answer: a
Explanation: Serializable, repeatable read, read committed and read uncommitted are the four levels of transactions."
1,"2.	State true or false: Serializable level may allow both serializable and non-serializable executions
a)	True
b)	False
View Answer","Answer: a
Explanation: Serializable level generally allows only serializable executions but in some special cases, it may also allow non-serializable execution."
2,"3.	________ allows only committed data to be read and further requires that no other transaction is allowed to update it between two reads of a data item by a transaction.
a)	Read uncommitted
b)	Serializable
c)	Repeatable read
d)	Read committed
View Answer","Answer: c
Explanation: Repeatable read allows only committed data to be read and further requires that no other transaction is allowed to update it between two reads of a data item by a transaction. However, the transaction may not be serializable with respect to other transactions."
3,"4.	________ allows only committed data to be read, but does not require repeatable reads
a)	Read uncommitted
b)	Serializable
c)	Repeatable read
d)	Read committed
View Answer","Answer: d
Explanation: Read committed allows only committed data to be read, but does not require repeatable reads. For instance, between two reads of a data item by the transaction, another transaction may have updated the data item and committed."
4,"5.	___________ allows uncommitted data to be read
a)	Read uncommitted
b)	Serializable
c)	Repeatable read
d)	Read committed
View Answer","Answer: a
Explanation: Real uncommitted allows uncommitted data to be read. It is the lowest isolation level allowed by SQL."
5,"6.	State true or false: All the isolation levels disallow dirty writes
a)	True
b)	False
View Answer","Answer: a
Explanation: All the isolation levels above additionally disallow dirty writes, that is, they Disallow writes to a data item that has already been written by another transaction that has not yet committed or aborted."
6,"7.	When is a timestamp allotted
a)	When execution begins
b)	When execution is taking place
c)	When execution is completed
d)	None of the mentioned
View Answer","Answer: a
Explanation: Timestamp is allotted when execution of a transaction begins."
7,"8.	In ___________ isolation each transaction is given its own version of the database
a)	Timestamp
b)	Snapshot
c)	Lock based
d)	All of the mentioned
View Answer","Answer: b
Explanation: In snapshot isolation, each transaction is given its own version or snapshot of the database on which it can operate."
8,"9.	What is the disadvantage of locking?
a)	Does not control concurrency
b)	Is not atomic
c)	Is not durable
d)	Has a poor degree of concurrency
View Answer",Answer: Locking has a poor degree of concurrency. It in fact has no concurrency at all.
9,"1.	If a transaction has obtained a __________ lock, it can read but cannot write on the item
a)	Shared mode
b)	Exclusive mode
c)	Read only mode
d)	Write only mode
View Answer","Answer: a
Explanation: If a transaction Ti has obtained a shared-mode lock (denoted by S) on item Q, then Ti can read, but cannot write, Q. "
10,"2.	If a transaction has obtained a ________ lock, it can both read and write on the item
a)	Shared mode
b)	Exclusive mode
c)	Read only mode
d)	Write only mode
View Answer","Answer: b
Explanation: If a transaction has obtained an exclusive mode lock, then it can both read and write on the item on which it in operating. "
11,"3.	A transaction can proceed only after the concurrency control manager ________ the lock to the transaction
a)	Grants
b)	Requests
c)	Allocates
d)	None of the mentioned
View Answer","Answer: a
Explanation: A transaction can proceed only after the concurrency control manager grants the lock to the transaction."
12,"4.	If a transaction can be granted a lock on an item immediately in spite of the presence of another mode, then the two modes are said to be ________
a)	Concurrent
b)	Equivalent
c)	Compatible
d)	Executable
View Answer","Answer: c
Explanation:  If a transaction can be granted a lock on an item immediately in spite of the presence of another mode, then the two modes are said to be compatible. "
