,Question,Answer
0,"1. When was the first version of Microsoft SQL Server released?
a) 1983
b) 1988
c) 1990
d) 1991
View Answer","Answer: b
Explanation: Microsoft released its first version of SQL Server in the year of 1988. This version was developed jointly by Microsoft and Sybase for the OS/2 platform."
1,"2. Which of the following companies originally worked together to create and market the first version of SQL Server?
a) Microsoft
b) Sybase
c) Ashton-Tate
d) All of the Mentioned
View Answer","Answer: d
Explanation: First version of SQL Server was designed for the OS/2 platform and was developed jointly by Microsoft and Sybase along with Ashton-Tate."
2,"3. Which of the SQL Server RTM included native support for managing XML data?
a) 7.0
b) 6.5
c) 8
d) 9
View Answer","Answer: d
Explanation: Support for XML is integrated into all the components from SQL Server 2005 RTM 9."
3,"4. Codename for SQL Server 2012 is __________
a) Kilimanjaro
b) Katmai
c) Denali
d) Hekaton
View Answer","Answer: c
Explanation: Codenames for SQL Server 2005, 2008, 2008 R2, 2012, 2014 are Yukon, Katmai, Kilimanjaro, Denali and Hekaton respectively."
4,"5. SQL Server 2005 has the following features?
a) Dynamic Management Views
b) FILESTREAM
c) Powerpivot
d) In-memory capability
View Answer","Answer: a
Explanation: SQL Server 2005 introduced DMVs (Dynamic Management Views), which are specialized views and functions that return server state information. FILESTREAM, Powerpivot and in-memory capability were introduced in 2008,2008 R2 and 2014 respectively."
5,"6. _________ is a software application first launched with the Microsoft SQL Server 2005.
a) Enterprise Manager
b) Query Analyzer
c) Business Intelligence Development Studio
d) SQL Server Management Studio
View Answer","Answer: d
Explanation: SQL Server Management Studio (SSMS) is an integrated environment that combines the features of Enterprise Manager, Query Analyzer, and Analysis Manager, included in previous releases of SQL Server, into a single environment."
6,"7. LocalDB was introduced in which of the following versions of SQL Server?
a) 2012
b) 2008
c) 2014
d) 2008 R2
View Answer","Answer: a
Explanation: LocalDB was introduced in SQL Server 2012 CTP3. It’s basically a new version of SQL Express, with same functionality, dedicated to developers."
7,"8. _________ is free database software running free SQL Server technology.
a) SQL Server Express
b) SQL Server Workgroup
c) SQL Server Enterprise
d) SQL Server Web
View Answer","Answer: a
Explanation: SQL Server Express Edition is a scaled down, free edition of SQL Server, which includes the core database engine."
8,"9. __________is the first true GUI-based database server.
a) SQL Server 7.0
b) SQL Server 6.5
c) SQL Server 2005
d) SQL Server 2008
View Answer","Answer: a
Explanation: SQL Server 7.0 provides a graphical user interface to interactively build a query and view the result for data source types."
9,"10. Which was the first version of SQL Server to introduce in-memory capability?
a) SQL Server 2012
b) SQL Server 2014
c) SQL Server 2005
d) SQL Server 2008
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: b
Explanation: SQL Server 2014 provides a new in-memory capability for tables that can fit entirely in memory (also known as Hekaton)."
10,"1. Management Studio is ________ used for development of SQL Server database.
a) Front end tool
b) Back end tool
c) Database engine
d) SQL Server
View Answer","Answer: a
Explanation: Management Studio is a front-end client tool used to manage SQL Server and develop databases."
11,"2. Which panel presents a list of objects under the selected node?
a) Template Explorer
b) Object Explorer
c) Properties window
d) Query Editor
View Answer","Answer: b
Explanation: Object Explorer is used for administering and developing SQL Server database objects."
12,"3. Template Explorer is used to manage ____________
a) T-SQL scripts
b) Registered Servers
c) Properties
d) Query design
View Answer","Answer: a
Explanation: Template Explorer is used to create and manage T-SQL code templates."
13,"4. Which of the following shortcut is used for displaying error list?
a) Ctrl + /
b) Ctrl + |
c) Ctrl + \
d) Ctrl + !
View Answer","Answer: c
Explanation: Error List (Ctrl+\, Ctrl+E) lists multiple errors."
14,"5. _____________ is not available on standard toolbar.
a) Error List
b) Object Explorer
c) Query Editor
d) Properties windows
View Answer","Answer: a
Explanation: The most commonly used tools — Query Editor, Object Explorer, Template Explorer, and Properties windows are available on the standard toolbar."
15,"6. Which command is used to reset default configuration in SSMS?
a) Clear
b) Hide
c) Reset all
d) Reset
View Answer","Answer: d
Explanation: To reset Management Studio to its default configuration (Object Explorer ➪ Tabbed Documents ➪Property Window) use the Window ➪ Reset Window Layout menu command."
16,"7._________ is tool in SSMS used to manage multiple servers.
a) Registered Servers
b) Query Editor
c) Template Explorer
d) Context Explorer
View Answer","Answer: a
Explanation: Using Registered Servers, connection information can be maintained for connections to the Database Engine, Analysis Services, Reporting Services, SQL Server Mobile Edition Databases, and Integration Services."
17,"8. Which of the following is a database object?
a) Tables
b) Triggers
c) Functions
d) All of the mentioned
View Answer","Answer: d
Explanation: SQL Server has many database objects such as service broker, views, tables and many more."
18,"9. Which of the following tool is used for designing schema of the database in SSMS?
a) Query Designer
b) Database Diagrams
c) Table designer
d) Query Editor
View Answer","Answer: c
Explanation: Table Designer is used to create and modify tables (rows and columns)."
19,"10. Which of the following pane option is not provided by Query Designer?
a) Diagram pane
b) Grid pane
c) Results pane
d) Query pane
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: d
Explanation: Query Designer does not provide Query pane for querying database schema."
20,"1. SMO in SQL Server stands for ___________
a) Server Management Object
b) Service Management Object
c) SQL Management Object
d) SQL Server Management Object
View Answer","Answer: d
Explanation: SQL Server Management Objects (SMO) is a collection of objects that are designed for programming all aspects of managing Microsoft SQL Server."
21,"2. Which of the following feature is not provided by SSS 2008?
a) Automatic formatting
b) IntelliSense
c) Code Outlining
d) SQLCMD
View Answer","Answer: a
Explanation: Management Studio Query Editor does not provide automatic formatting of T-SQL. There are some free websites that enable you to submit a SQL statement and will then format the code, but I’ve been using SQL Prompt from Red Gate and I’ve come to depend on it for consistent formatting."
22,"3. Ctrl+K+K  shortcut refers to ___________
a) Refresh IntelliSense
b) Add or remove a bookmark
c) Enable all bookmarks
d) Move to the next bookmark
View Answer","Answer: b
Explanation: To toggle bookmarks on/off within SSMS, press Ctrl+K+K."
23,"4. Which of the following shortcut is used to clear all bookmarks?
a) Ctrl+K+L
b) Ctrl+K+O
c) Ctrl+K+B
d) Ctrl+K+P
View Answer","Answer: a
Explanation: To delete all within SSMS, press Ctrl+K+L."
24,"5. __________menu allows user to set up some keyboard shortcuts.
a) Edit
b) File
c) Tools
d) None of the Mentioned
View Answer","Answer: c
Explanation: In SSMS click Tools, and then Options.  Select Keyboard from the Environment tree and set up the things you are like to type very often."
25,"6. Which menu is used to restore windows to their original locations?
a) Edit
b) File
c) Tools
d) Windows
View Answer","Answer: d
Explanation: To restore windows to their original locations, on the Window menu, click Reset Window Layout."
26,"7. Which of the following is used to build sql statements without writing code?
a) Registered Servers
b) Query Designer
c) Template Explorer
d) Context Explorer
View Answer","Answer: b
Explanation: Within the Management Studio, Query Designer can build a SQL statement without having to write your own SQL code."
27,"8. Which of the following is not a database object?
a) Database Diagrams
b) Stored Procedures
c) PowerShell
d) Index
View Answer","Answer: c
Explanation: PowerShell is a tool utility not a database object."
28,"9. ______________ is schematic drawing used for representing relationships in database.
a) Trigger
b) Database Diagrams
c) Table designer
d) Query Editor
View Answer","Answer: b
Explanation: Database diagram tool allows you to visualize a database structure for further analysis and generate a table relationship diagram from an existing schema."
29,"10. The _________ database is used by SQL Server Agent for scheduling alerts and jobs, and recording operators.
a) model
b) msdb
c) master
d) temp
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: b
Explanation: MSDB Database stores information related to database backups, DTS packages, Replication, SQL Agent information, SQL Server jobs."
30,"1. Which of the following is a large object data type?
a) varchar(max)
b) varbinary(max)
c) nvarchar(max)
d) image
View Answer","Answer: d
Explanation: In SQL Server, based on their storage characteristics, some data types are designated as large value data types and large object data types."
31,"2. Data types in SQL Server are organized into how many categories?
a) 6
b) 8
c) 9
d) 10
View Answer","Answer: a
Explanation: SQL Server offers six categories of data types for your use:-exact numeric, Unicode character strings, approximate numeric, Binary strings, Date and time and Character strings."
32,"3. Exact Numeric data type is ___________
a) bigint
b) int
c) smallmoney
d) all of the mentioned
View Answer","Answer: d
Explanation: Exact numeric data types store numeric values where you wish to specify the precision of the variable. They may include integer or decimal numbers."
33,"4. ntext data type falls under which category?
a) Exact numerics
b) Character strings
c) Unicode character strings
d) None of the mentioned
View Answer","Answer: c
Explanation: ntext is fixed and variable-length data type for storing large non-Unicode and Unicode character."
34,"5. A column of type __________ may contain rows of different data types.
a) ntext
b) date
c) smallmoney
d) sql_variant
View Answer","Answer: d
Explanation: sql_variant is data type that stores values of various SQL Server-supported data types."
35,"6. You want to track date and time of the last write access per row?
a) Add TIMESTAMP column to the table
b) Add a DATETIME column to the table and assign getdate() as the default value
c) Add a DATETIME column to the table and write a trigger that sets its value
d) Add a UNIQUEIDENTIFIER column to the table and use it with SQL Server’s built-in functions
View Answer","Answer: a
Explanation: The correct answer is Add a DATETIME column to the table and write a trigger that sets its value."
36,"7._________ is  a spatial data type.
a) geometry
b) sql_variant
c) cursor
d) all of the mentioned
View Answer","Answer: b
Explanation: SQL Server supports the geometry and geography data types for storing spatial data. These types support methods and properties that allow for the creation, comparison, analysis, and retrieval of spatial data."
37,"8. Which of the following data type is not present in SQL Server?
a) bit
b) boolean
c) hierarchyid
d) geography
View Answer","Answer: b
Explanation: SQL Server doesn’t have a Boolean data type, at least not by that name. To store True/False, Yes/No, and On/Off values, use the bit data type. It accepts only three values: 0, 1, and NULL."
38,"9. ______________ is monetary data type in SQL Server.
a) Smallmoney
b) sql_variant
c) Cursor
d) None of the Mentioned
View Answer","Answer: a
Explanation: Monetary data types are data types that represent monetary or currency values such as smallmoney and money."
39,"10. Which of the data type has a storage size of 8 bytes?
a) timestamp
b) uniqueidentifier
c) real
d) smallmoney
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: a
Explanation: uniqueidentifier, real and smallmoney data types have storage size of 16,4 and 4 bytes respectively."
40,"1. ______________ function  returns current date and time.
a) SET DATEFIRST
b) SYSDATETIME
c) Cert_ID
d) GETDATE
View Answer","Answer: d
Explanation: GETDATE function is used to obtain the current system date and time. Although GETDATE doesn’t have any input parameters, you still need to include the parentheses in your code because that’s how SQL Server typically identifies functions."
41,"2. Which of the following function checks whether the expression is a valid date or not?
a) ISDATE
b) ISDAY
c) ISVALID
d) ISYEAR
View Answer","Answer: a
Explanation: ISDATE() determines whether a datetime or smalldatetime input expression is a valid date or time value."
42,"3. Which of the following is not a mathematical function?
a) ATN2
b) POWER
c) PI
d) CEIL
View Answer","Answer: d
Explanation: SQL Server has CEILING function to get the smallest integer greater than the specified expression."
43,"4. @@NESTLEVEL function  falls under which of the following category?
a) Configuration functions
b) Cursor functions
c) Mathematical functions
d) Date and Time Data Functions
View Answer","Answer: a
Explanation: Configuration functions return information about the current configuration."
44,"5. __________ are used for supporting encryption, decryption, digital signing and their validation.
a) Cryptographic functions
b) Cursor functions
c) Configuration functions
d) None of the mentioned
View Answer","Answer: a
Explanation: Encryption and decryption of data is done by cryptographic functions."
