Question,Answer
"1. Which type of database management system is MySQL?
a) Object-oriented
b) Hierarchical
c) Relational
d) Network
View Answer","Answer: c
Explanation: MySQL is a ‘relational’ DBMS. It is efficient at relating data in two different tables and joining information from them. Hierarchical and Network DBMS are based on parent-child relationships of records. Object-oriented DBMS use objects to represent models."
"2. What is data in a MySQL database organized into?
a) Objects
b) Tables
c) Networks
d) File systems
View Answer","Answer: b
Explanation: Since MySQL is an RDBMS, it’s data is organised in tables for establishing relationships. A table is a collection of rows and columns, where each row is a record and columns describe the feature of records."
"3. MySQL is freely available and is open source.
a) True
b) False
View Answer","Answer: a
Explanation: MySQL is free and open source. It’s source code is available for use and is freely downloadable. It includes the MySQL Server, the world’s most popular open source database, and MySQL Cluster, a real-time, open source transactional database."
"4. What represents an ‘attribute’ in a relational database?
a) Table
b) Row
c) Column
d) Object
View Answer","Answer: c
Explanation: Each column in a table represents a feature (attribute) of a record. Table stores the information for an entity whereas a row represents a record. Object has no relevance in an RDBMS."
"5. What represents a ‘tuple’ in a relational database?
a) Table
b) Row
c) Column
d) Object
View Answer","Answer: b
Explanation: Each row in a table represents a record. A tuple is a collection of attribute values that makes a record unique. A tuple is a unique entity whereas attribute values can be duplicate in the table."
"6. How is communication established with MySQL?
a) SQL
b) Network calls
c) A programming language like C++
d) APIs
View Answer","Answer: a
Explanation: SQL is the standard language for RDBMS systems like MySQL. SQL queries facilitate quick information retrieval from tables and other elementary operations required to maintain an RDBMS system."
"7. What does ‘name’ represent in the following SQL code snippet?a) A table
b) A row
c) A column
d) An object
View Answer","Answer: c
Explanation: ‘name’, ‘roll_num’, ‘address’ and ‘phone’ are the attributes in the table ‘student’. The CREATE TABLE construct in SQL creates a table, assigns a name to it and its attributes, and specifies the type of fields used in the table."
"8. Which is the MySQL instance responsible for data processing?
a) MySQL client
b) MySQL server
c) SQL
d) Server daemon program
View Answer","Answer: b
Explanation: MySQL uses client-server architecture. The MySQL server program runs on the machine where databases are stored. SQL is a query language used for querying the tables and information retrieval."
"9. The MySQL server used in its client/server architecture is _______________
a) mysqla
b) mysqlb
c) mysqlc
d) mysqld
View Answer","Answer: d
Explanation: mysqld is the MySQL server program. It serves the incoming client requests by accessing the database. The others are not valid MySQL programs. MySQL implements a client/server architecture wherein mysqld is the server program."
"10. In MySQL databases, the structure representing the organizational views of the entire databases is ____________
a) Schema
b) View
c) Instance
d) Table
View Answer","Answer: a
Explanation: The schema in a database gives a blueprint of the structure. A view is an object that can be generated with a query. A table is a collection of records. An instance is analogous to a class object."
"1. Which of the following clauses is used to display information that match a given pattern?
a) LIKE
b) WHERE
c) IS
d) SAME
View Answer","Answer: a
Explanation: The ‘LIKE’ clause filters information that match a given pattern. ‘WHERE’ clause selects information that is specified by a condition. ‘IS’ is used to match the exact condition specified."
"2. What column names are displayed when this SQL command is executed?a) suffixed with ‘name’
b) prefixed with ‘name’
c) suffixed with ‘%name’
d) prefixed with ‘%name’
View Answer","Answer: a
Explanation: The wildcard ‘%’ is used to indicate that any number of characters can replace it. All column names that end in ‘name’ are displayed. Additional information of columns like type and size are listed."
"3. The special database that always exists after setting up MySQL in a computer is __________
a) sampdb
b) mysql
c) information_schema
d) readme_db
View Answer","Answer: c
Explanation: After installation of MySQL, ‘information_schema’ is the special database that always exists. ‘mysql’ can be seen depending on access rights. It holds the grant tables. ‘sampdb’ and ‘readme_db’ do not exist by default."
"4. In the following SQL code, InnoDB is __________a) database name
b) table name
c) reference engine
d) storage engine
View Answer","Answer: d
Explanation: ‘InnoDB’ is the name of the ‘storage engine’ for the above table. The ‘ENGINE’ clause is used to specify the name of the storage engine that MySQL should use to handle the table being created. MySQL has several storage engines with its own properties."
"5. Identify the table name in the following SQL statement.a) Student
b) Values
c) Kyle
d) M
View Answer","Answer: a
Explanation: The ‘INSERT INTO’ clause here inserts a row in the table named ‘student’. The table has three fields. The first field or attribute value in the row/tuple is ‘Kyle’. The second attribute value is ‘M’ and the last attribute is set to NULL."
"6. What is ‘xyz’ in the following SQL statement?a) row name
b) column name
c) table name
d) database name
View Answer","Answer: c
Explanation: The SELECT clause is used to retrieve information from some specified tables. It follows a specified format for information retrieval. Here, ‘abc’ can be a column name. It must be present in the table ‘xyz’."
"7. Which operator is used to perform integer divisions in MySQL?
a) /
b) \
c) DIV
d) //
View Answer","Answer: c
Explanation: The operator ‘DIV’ is used to perform integer divisions in MySQL. ‘//’ is used in languages like Python to do the same. The operator ‘/’ performs floating point divisions and ‘\’ is facilitates escape sequences."
"8. The NULL value also means ___________
a) value equal to zero
b) unknown value
c) negative values
d) a large value
View Answer","Answer: b
Explanation: The NULL value in MySQL is a special value. It represents ‘no value’ or an ‘unknown value’. A NULL value can’t be compared like normal known values since it gives undesirable results."
"9. What does comparing a known value with NULL result into?
a) zero
b) a positive value
c) a negative value
d) null
View Answer","Answer: d
Explanation: In MySQL, NULL is not comparable to other known values. It will result in a NULL when compared to any value. The following statement would result in four NULLs: ‘SELECT NULL = 0, NULL < 0, NULL <> 0, NULL > 0’."
"10. Which clause is used to sort query elements?
a) GROUP
b) GROUP BY
c) ORDER
d) ORDER BY
View Answer","Answer: d
Explanation: An ‘ORDER BY’ clause specifies the sort order. The data is sorted in ascending order by default. To sort in descending order, the keyword DESC is appended to the ‘ORDER BY’ clause. ‘GROUP BY’ is used to group the query results according to the criteria."
"1. MySQL client runs on the machine containing the databases and servers connect to the client over a network.
a) True
b) False
View Answer","Answer: b
Explanation: MySQL operates using a client/server architecture. It is the server that runs on the machine and not the client. The clients connect to the MySQL server to request information from the database(s)."
"2. The number of attributes in the following SQL table is ______________a) 30
b) 1
c) 2
d) 3
View Answer","Answer: c
Explanation: The name of the table created is ’employee’. It has two attributes, namely, ’emp_name’ and ’emp_id’. The attributes are the columns in a table. emp_name is of type string and emp_id is of type integer."
"3. Which of the following options tells mysql to ask for entering the password?
a) -e
b) -p
c) -u
d) -h
View Answer","Answer: b
Explanation: The command ‘mysql -p’ (alternative form: –password) prompts for the password. ‘-h’ (alternative form: –host) specifies the host where the MySQL server is running. ‘-u’ is for specifying the username."
"4. What is the host name in the following MySQL command?a) cobra.snake
b) cobra.snake.net
c) sampadam
d) cobra
View Answer","Answer: b
Explanation: The ‘-h’ option specifies the hostname of the server. The ‘cobra.snake.net’ is the complete host name. The ‘-p’ option prompts for the account’s password and ‘-u’ specifies the user name."
"5. What is ‘tamp’ in the following MySQL command?a) user name
b) password
c) host name
d) table name
View Answer","Answer: a
Explanation: ‘tamp’ is the name of the user. The user will be prompted for password due to the ‘-p’ option. ‘xyz.host.try’ is the host name here. The entire command specifies the host-user pair and prompts for password to establish the connection."
